Pregunta 3 ;Pregunta 4;Pregunta 5;Pregunta 6;Pregunta 7;Pregunta 8;Pregunta 9;Pregunta 10;Pregunta 11;Pregunta 12;Pregunta 13;Pregunta 14;Pregunta 15;Pregunta 16 a;Pregunta 16 b;Pregunta 16 c;Pregunta 16 d;Pregunta 16 e;Pregunta 16 f;Pregunta 16 g;Pregunta 16 h;Pregunta 16 i;Pregunta 16 j;Pregunta 16 k;Pregunta 16 l;Pregunta 16 m;Pregunta 16 n;Pregunta 16 ñ;Pregunta 16 o;Pregunta 16 p;Pregunta 16 q;Pregunta 16 r;Pregunta 16 s;Pregunta 16 t;Pregunta 16 u;Pregunta 16 v;Pregunta 17 a;Pregunta 17 b;Pregunta 17 c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Practico activamente People Analytics.;5-10;> 10;> 10;Por casualidad;Suiza;No;No;Zurich Insurance;Analítica prescriptiva (¿Como puedo hacer que suceda X?).;Sí.;Sí, se creó desde cero.;Python (Lenguaje de programación);SQL (Lenguaje de programación);R (Lenguaje de programación);;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;SuccesFactors (Gestión del capital humano);Hadoop (Big Data cluster-computing framework);Spark (Big Data cluster-computing framework);Azure (Servicios de computación en la nube);;Amazon Web Services (Servicios de computación en la nube);;;;;;Analytics Edge;Wharton;O’Reilly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH interesado en People Analytics.;;2-5;Sin experiencia;No he acabado de introducirme en la materia;España;Sí;No;Robert Walters;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;;;;;;;;;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH interesado en People Analytics.;;2-5;Sin experiencia;Detección de la tendencia.;España;No;No;;Analítica diagnóstica (¿Por que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;Data Analytics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH interesado en People Analytics.;;5-10;Sin experiencia;Optimizar procesos ;España;No;No;;Analítica diagnóstica (¿Por que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH interesado en People Analytics.;;2-5;0-2;Webinar ;España;Sí;No;Zurich Insurance;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH interesado en People Analytics.;0-2;0-2;0-2;En mis prácticas uno de mis compañeros tenía ese rol;España;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;SuccesFactors (Gestión del capital humano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Practico activamente People Analytics.;2-5;5-10;2-5;Desde el equipo de planificación y estrategia, planteamos la estrategia de People Analytics y montamos un proyecto alrededor que fue creciendo hasta tener el equipo que tenemos hoy;España;No;No;Telefónica;Analítica diagnóstica (¿Por que ha sucedido?).;Sí.;Sí, se creó con quienes hacían esta labor o similar en otras unidades de negocio.;Python (Lenguaje de programación);SQL (Lenguaje de programación);R (Lenguaje de programación);;;;;;Power BI (Inteligencia de negocio);;;;SuccesFactors (Gestión del capital humano);;;;;;;;;;;Wharton;AIHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy Estadístico/Matemático/Analista de Datos interesado en People Analytics.;0-2;5-10;5-10;Desde que empecé a trabajar en RRHH, en compensaciones, me llamó la atención como podía se podía aprovechar la explotación de datos en este campo;Perú ;No;No;Bbva;Analítica diagnóstica (¿Por que ha sucedido?).;Sí.;Sí, se creó desde cero.;Python (Lenguaje de programación);;;;;;;;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Practico activamente People Analytics. ;2-5;2-5;2-5;El campo estaba emergiendo cuando comence mi carrera, asi que fue primero aprendiendo sobre el campo informalmente mientras empece con puestos en Reward y HRIS. En esos puestos empece a aplicar PA proactivamente, adaptando mi puesto a este area. Finalmente salte en 2017 a puestos de PA 100%.;Reino Unido;No;No;Legal & General;Analítica prescriptiva (¿Como puedo hacer que suceda X?).;Sí.;Sí, se creó desde cero.;;;R (Lenguaje de programación);;;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;Artículos en Linkedin de People Analytics;The power of people;Estadística;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH aprendiendo People Analytics.;0-2;2-5;Sin experiencia;Por curiosidad. Quiero aprender;España;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No trabajo actualmente.;No trabajo actualmente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
