,words_per_comment,variance_of_word_counts,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP,I-E,N-S,T-F,J-P,0,1
0,11.12,135.29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.910143,7.4778743
1,23.4,187.47560000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.93804,5.9396358
2,16.72,180.68999999999997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.7401528,5.486389
3,21.28,181.8324,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.4151344,7.4529285
4,19.34,196.45760000000007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0831976,7.512875
5,29.82,97.72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.537582,7.6529427
6,26.58,151.3664,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.57988,5.343137
7,24.46,174.7664,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.218481,3.8705373
8,14.76,207.11239999999998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5919881,7.365112
9,24.66,145.6704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.30894518,6.67918
10,29.08,114.6964,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.6403832,6.5172577
11,15.94,269.08707409410493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.2065768,5.183774
12,25.0,193.25960000000003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.714014,5.8438582
13,31.9,83.3856,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.2354002,5.214719
14,17.68,179.34440000000004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.44641,7.774131
