,words_per_comment,variance_of_word_counts,i-e,n-s,t-f,j-p,0,1,2
0,11.12,135.29,0,0,1,0,13.251877,29.13141,31.06098
1,23.4,187.47560000000001,1,0,0,1,34.73907,13.253481,19.693851
2,16.72,180.68999999999997,0,0,0,1,21.542686,25.890715,29.402643
3,21.28,181.8324,0,0,0,0,29.922289,22.042522,9.432224
4,19.34,196.45760000000007,1,0,0,0,24.118402,18.16695,29.414555
5,29.82,97.72,0,0,0,0,24.135624,37.859787,13.112486
6,26.58,151.3664,0,0,1,0,37.094677,51.98932,30.479992
7,24.46,174.7664,0,0,0,0,30.395391,12.386694,53.003365
8,14.76,207.11239999999998,0,0,1,0,22.630402,24.37171,41.386868
9,24.66,145.6704,0,0,0,1,20.347916,29.477695,41.58378
10,29.08,114.6964,0,0,1,0,36.627792,40.77467,16.9864
11,15.94,269.08707409410493,1,0,1,0,16.31731,48.275635,40.95607
12,25.0,193.25960000000003,0,0,1,0,47.537857,44.43405,14.238827
13,31.9,83.3856,0,0,0,0,37.649143,41.584717,21.782143
14,17.68,179.34440000000004,0,0,0,1,23.010017,29.454525,21.834293
15,24.24,134.57160000000002,0,0,0,1,44.47484,18.304955,26.312601
16,27.52,119.40441482715535,0,0,1,0,30.542225,50.054863,32.434086
17,32.74,57.1616,0,0,1,1,42.90176,37.535812,39.537743
18,30.6,70.92360000000001,0,0,1,0,42.127163,24.966576,33.642395
19,22.78,170.8224,0,0,1,1,17.25256,26.224926,20.949242
20,21.7,150.6576,0,0,0,1,35.744793,36.615463,5.0024223
21,22.02,167.48,0,0,1,0,26.870571,55.50425,33.99543
22,23.84,157.7476,1,0,0,0,14.145819,45.30845,43.654648
23,13.04,143.6875,0,0,1,1,43.169083,26.846638,17.577309
24,21.72,198.73000000000005,1,0,0,0,30.38506,16.277723,30.85841
25,21.94,186.9136,0,0,1,1,41.667053,17.55185,28.426323
26,35.16,47.9204,1,0,1,1,39.977116,38.822014,37.833237
27,18.1,170.27360000000002,0,1,1,1,2.592413,25.158724,28.996635
28,29.08,93.19748263888887,0,0,1,1,45.37273,33.088345,40.10825
29,31.4,121.87559999999998,0,0,1,0,47.3862,51.281906,28.188269
30,32.12,88.65,0,0,1,1,42.769764,30.665285,52.48239
31,19.68,138.5844,0,0,1,0,24.735111,13.560297,62.970592
32,23.16,135.6404,0,0,0,1,25.285233,32.550808,18.242804
33,27.32,143.41,0,0,1,0,33.695,30.674904,19.727573
34,20.54,176.6096,1,0,1,0,29.649593,25.474146,47.869972
35,7.14,79.82560000000001,0,0,1,0,21.433918,15.091163,49.235897
36,29.3,160.6816,0,0,0,0,38.03968,30.313585,30.906517
37,29.76,173.55239999999998,0,0,1,1,49.87263,34.06295,48.8989
38,27.88,105.6804,1,0,1,1,32.84506,42.697456,33.971924
39,33.12,39.73,1,0,0,0,28.351944,32.451115,38.743347
40,31.34,111.2176,0,1,0,1,46.808434,29.669386,10.430281
41,28.26,139.3424,0,0,1,0,32.15558,32.911457,43.55743
42,20.7,207.13760000000002,0,0,0,1,41.266956,23.551014,21.79824
43,27.72,110.57,0,0,1,1,36.947754,27.754625,6.487854
44,19.26,172.30239999999998,0,0,0,0,20.026066,46.9904,30.229145
45,30.96,95.01640000000002,0,0,0,1,35.137047,28.2658,32.420563
46,30.7,54.49759999999999,1,0,0,0,31.18283,21.341118,25.870441
47,29.84,111.58760000000002,0,0,1,1,41.2358,25.533876,43.364513
48,32.7,75.57759999999999,0,1,1,0,54.841026,39.238552,37.72113
49,21.96,212.09639999999996,0,0,0,0,17.335499,29.387722,35.25251
50,29.64,85.7956,0,0,0,1,4.3017654,33.459217,21.258064
51,27.92,127.45,0,0,1,1,33.33674,36.11811,50.07749
52,27.22,124.71999999999998,0,1,1,0,40.288452,46.104965,38.128513
53,29.24,130.8516,0,0,0,1,28.991272,13.139523,59.564964
54,25.42,103.89569160997735,0,0,1,1,43.86589,23.219648,44.788338
55,19.2,226.64476813317478,0,0,1,1,43.45845,24.445395,43.29621
56,26.58,180.5264,0,0,1,1,43.820244,33.679115,42.026558
57,25.58,176.9664,1,0,1,0,26.448055,25.12496,44.41404
58,26.2,137.58759999999998,0,0,0,1,27.17588,27.532713,41.411667
59,23.92,163.81,0,0,0,0,13.270212,35.27709,27.046402
60,21.52,188.85,0,0,1,0,33.90197,53.810005,37.728012
61,29.4,120.4756,0,0,0,1,34.72878,35.921867,20.395512
62,20.9,84.82666666666667,0,0,1,1,47.157257,32.822876,41.9705
63,31.86,81.49440000000001,0,0,1,1,37.27675,24.179113,14.638986
64,8.62,147.37109375,1,0,0,1,13.805021,20.698612,41.43462
65,32.82,56.23999999999999,0,0,0,1,32.37126,36.659325,18.610641
66,24.62,145.24,0,1,1,1,21.659145,17.387653,47.25167
67,34.46,40.1664,1,0,1,0,36.895443,37.933014,11.809284
68,27.16,127.20039999999999,0,0,1,0,34.16252,45.672997,31.6063
69,24.12,139.42523948354852,1,0,1,0,35.414486,53.09407,31.976768
70,34.14,86.50560000000002,0,0,1,0,32.630657,14.228621,57.13301
71,19.42,243.76,0,0,1,1,41.787766,24.867924,40.469437
72,25.72,174.09000000000003,1,0,1,1,30.922913,26.428024,50.16057
73,20.54,181.68959999999996,0,1,0,1,24.045164,36.36769,30.7791
74,27.7,129.2976,0,0,1,0,47.50194,53.76027,30.485903
75,21.32,193.25,0,0,0,1,25.965881,20.717003,26.826128
76,31.36,69.1044,0,0,0,0,20.252655,42.90123,17.172073
77,22.26,138.26239999999999,0,0,0,0,17.750092,21.784618,23.527515
78,32.54,29.529600000000006,0,0,0,0,22.041952,46.22322,16.477594
79,33.46,55.8864,0,0,1,1,29.750444,28.34854,38.201797
80,18.44,250.36360000000002,0,0,1,1,33.628372,29.585749,3.5537968
81,27.1,192.6736,0,0,1,0,35.99402,33.647186,41.302174
82,31.44,56.003600000000006,1,0,0,1,30.956867,17.92589,44.895767
83,24.48,180.1284,1,0,0,0,38.43098,29.968105,2.8903122
84,18.18,195.87686736079675,0,0,1,1,26.707294,19.24445,50.186066
85,15.62,164.88979591836733,0,0,0,1,15.523028,27.162672,26.145023
86,26.12,155.21,0,0,1,1,47.487297,26.567299,36.508213
87,15.78,132.21165279429252,0,1,1,0,29.43376,14.379189,58.974968
88,16.8,205.6516,0,1,0,0,17.125343,32.822605,33.50239
89,29.02,118.48,0,0,0,1,30.052814,26.07245,22.798723
90,27.1,135.2336,1,0,0,1,4.769148,35.257923,25.885727
91,29.98,101.7584,0,0,0,1,24.31668,27.602125,22.957523
92,20.26,109.53287197231835,0,1,1,1,27.940039,37.016685,49.99613
93,9.42,201.49584487534625,1,0,1,0,12.285532,46.11064,40.862312
94,17.58,173.3664,0,0,1,0,32.731583,33.9625,44.726234
95,29.2,91.7876,0,0,1,1,17.90192,23.7944,45.14431
96,28.22,153.88000000000002,0,0,1,0,47.183388,29.405851,17.333878
97,22.86,155.13440000000003,0,0,0,0,15.995497,19.620424,25.823725
98,24.02,148.84,0,0,1,0,19.53355,36.73523,42.53266
99,23.66,168.0704,1,0,1,1,26.671392,9.098566,35.990776
100,25.1,267.3136,0,0,1,1,36.415264,36.2681,37.76341
101,22.48,227.9284,0,0,1,1,32.329865,37.710907,45.526436
102,20.04,161.09959999999998,1,0,1,1,23.776903,14.669939,46.505085
103,15.64,174.0356,0,0,1,0,16.373096,32.110077,48.5689
104,20.18,143.4144,0,1,0,1,32.771023,15.257022,47.935997
105,29.76,142.75240000000002,0,0,1,0,39.02825,37.35671,40.5058
106,23.72,164.33,0,1,0,0,31.2162,34.68567,33.34189
107,29.54,83.8096,1,0,1,0,28.639776,42.63907,27.50654
108,14.9,119.42560000000002,0,0,0,1,21.230171,22.060368,35.273743
109,23.24,153.3716,0,0,0,0,25.97426,25.896297,20.605373
110,31.9,74.97148030783158,1,0,0,1,49.58017,40.075577,36.63
111,31.08,70.0964,0,0,1,1,43.752415,34.268433,42.99191
112,29.88,155.8804,0,0,1,1,53.78543,32.498722,20.734385
113,13.72,140.13,1,1,0,1,20.811735,19.408646,12.267103
114,26.52,123.85,0,1,0,1,31.09325,13.946774,48.624203
115,26.12,142.81000000000003,1,0,1,1,42.373756,38.941277,32.916195
116,25.54,127.08959999999999,1,0,0,1,42.202194,28.123077,1.9496002
117,31.88,71.4804,0,0,0,1,30.876345,25.509504,26.30362
118,22.08,227.7764,0,0,1,0,29.025738,45.861,32.435745
119,20.96,157.65640000000002,1,0,1,1,37.558353,15.649141,10.658346
120,31.82,66.36000000000001,1,0,0,1,29.70901,20.05568,33.808857
121,9.3,176.39506172839504,0,0,0,1,13.442038,25.197878,25.273098
122,25.26,171.90240000000003,0,0,1,0,31.615583,50.384888,32.96442
123,21.3,171.6016,0,1,0,1,24.36463,32.860176,38.840378
124,18.18,146.8144,0,0,0,1,11.514156,21.30511,31.155252
125,24.34,178.2976,0,0,0,0,25.752935,45.147408,22.625643
126,17.98,152.55839999999998,1,0,0,1,17.901424,24.633785,31.01866
127,30.2,67.2676,0,0,1,0,17.6422,16.894993,25.452934
128,21.54,176.24960000000002,0,0,1,0,32.726616,49.417908,33.18157
129,25.82,179.71999999999997,0,0,1,0,40.935837,40.718834,12.970865
