,type,words_per_comment,variance_of_word_counts,i-e,n-s,t-f,j-p,0,1
0,infj,11.12,135.29,0,0,1,0,12.761392,3.5391083
1,entp,23.4,187.47560000000001,1,0,0,1,9.733282,0.5781833
2,intp,16.72,180.68999999999997,0,0,0,1,12.002575,4.1932344
3,intj,21.28,181.8324,0,0,0,0,9.521256,1.8237164
4,entj,19.34,196.45760000000007,1,0,0,0,11.170195,0.72645473
5,intj,29.82,97.72,0,0,0,0,12.0178995,1.7566714
6,infj,26.58,151.3664,0,0,1,0,9.369242,3.4922981
7,intj,24.46,174.7664,0,0,0,0,14.855923,1.4022306
8,infj,14.76,207.11239999999998,0,0,1,0,11.282636,4.596671
9,intp,24.66,145.6704,0,0,0,1,12.213951,4.06102
10,infj,29.08,114.6964,0,0,1,0,8.980011,2.885324
11,enfj,15.94,269.08707409410493,1,0,1,0,13.914407,5.5369096
12,infj,25.0,193.25960000000003,0,0,1,0,8.457181,6.5012693
13,intj,31.9,83.3856,0,0,0,0,10.112764,3.2115002
14,intp,17.68,179.34440000000004,0,0,0,1,10.588111,2.3125026
15,intp,24.24,134.57160000000002,0,0,0,1,11.675912,2.3604379
16,infj,27.52,119.40441482715535,0,0,1,0,9.619971,3.4681785
17,infp,32.74,57.1616,0,0,1,1,10.068984,4.73507
18,infj,30.6,70.92360000000001,0,0,1,0,10.1509075,4.1313844
19,infp,22.78,170.8224,0,0,1,1,10.1517725,1.8216555
20,intp,21.7,150.6576,0,0,0,1,8.427829,1.266926
21,infj,22.02,167.48,0,0,1,0,9.04585,3.781408
22,entj,23.84,157.7476,1,0,0,0,14.000645,5.30999
23,infp,13.04,143.6875,0,0,1,1,8.531512,2.7516587
24,entj,21.72,198.73000000000005,1,0,0,0,11.199709,0.5302236
25,infp,21.94,186.9136,0,0,1,1,10.617495,4.0069966
26,enfp,35.16,47.9204,1,0,1,1,10.189425,3.9275222
27,isfp,18.1,170.27360000000002,0,1,1,1,7.91298,3.045632
28,infp,29.08,93.19748263888887,0,0,1,1,10.467897,5.627641
29,infj,31.4,121.87559999999998,0,0,1,0,10.015779,4.3064585
30,infp,32.12,88.65,0,0,1,1,11.724974,6.02388
31,infj,19.68,138.5844,0,0,1,0,15.473447,1.575752
32,intp,23.16,135.6404,0,0,0,1,10.07034,1.638966
33,infj,27.32,143.41,0,0,1,0,10.246214,1.9610654
34,enfj,20.54,176.6096,1,0,1,0,11.816381,5.9910088
35,infj,7.14,79.82560000000001,0,0,1,0,14.989017,2.39199
36,intj,29.3,160.6816,0,0,0,0,10.36692,3.6781335
37,infp,29.76,173.55239999999998,0,0,1,1,10.208329,4.706367
38,enfp,27.88,105.6804,1,0,1,1,10.865159,4.1092153
39,entj,33.12,39.73,1,0,0,0,10.986645,3.6702378
40,istp,31.34,111.2176,0,1,0,1,8.828568,6.006097
41,infj,28.26,139.3424,0,0,1,0,11.630424,5.4389367
42,intp,20.7,207.13760000000002,0,0,0,1,10.304921,1.3200178
43,infp,27.72,110.57,0,0,1,1,7.957642,1.9461898
44,intj,19.26,172.30239999999998,0,0,0,0,10.796852,2.5557
45,intp,30.96,95.01640000000002,0,0,0,1,10.917079,3.421145
46,entj,30.7,54.49759999999999,1,0,0,0,11.099432,1.324254
47,infp,29.84,111.58760000000002,0,0,1,1,11.083239,4.0660186
48,isfj,32.7,75.57759999999999,0,1,1,0,9.712109,4.3588767
49,intj,21.96,212.09639999999996,0,0,0,0,12.482939,3.4630473
50,intp,29.64,85.7956,0,0,0,1,17.364706,6.8609967
51,infp,27.92,127.45,0,0,1,1,11.095269,5.237488
52,isfj,27.22,124.71999999999998,0,1,1,0,7.690201,3.5150237
53,intp,29.24,130.8516,0,0,0,1,14.878482,1.1753203
54,infp,25.42,103.89569160997735,0,0,1,1,11.097424,5.345325
55,infp,19.2,226.64476813317478,0,0,1,1,10.772869,5.5586996
56,infp,26.58,180.5264,0,0,1,1,10.758137,4.435145
57,enfj,25.58,176.9664,1,0,1,0,10.184804,5.347983
58,intp,26.2,137.58759999999998,0,0,0,1,11.463305,4.017685
59,intj,23.92,163.81,0,0,0,0,11.67418,2.406048
60,infj,21.52,188.85,0,0,1,0,9.1785755,4.0354524
61,intp,29.4,120.4756,0,0,0,1,10.142407,2.261584
62,infp,20.9,84.82666666666667,0,0,1,1,10.215872,5.1159477
63,infp,31.86,81.49440000000001,0,0,1,1,9.3919325,1.8737245
64,entp,8.62,147.37109375,1,0,0,1,12.458476,4.249102
65,intp,32.82,56.23999999999999,0,0,0,1,11.775482,6.16305
66,isfp,24.62,145.24,0,1,1,1,13.603932,4.1724453
67,enfj,34.46,40.1664,1,0,1,0,8.514605,1.4723142
68,infj,27.16,127.20039999999999,0,0,1,0,10.878182,3.6366453
69,enfj,24.12,139.42523948354852,1,0,1,0,8.9264765,3.5646029
70,infj,34.14,86.50560000000002,0,0,1,0,15.261519,1.6578424
71,infp,19.42,243.76,0,0,1,1,11.077047,4.4417424
72,enfp,25.72,174.09000000000003,1,0,1,1,10.625328,4.822327
73,istp,20.54,181.68959999999996,0,1,0,1,12.801776,3.0671918
74,infj,27.7,129.2976,0,0,1,0,9.576204,3.9332795
75,intp,21.32,193.25,0,0,0,1,11.063693,2.544642
76,intj,31.36,69.1044,0,0,0,0,11.9969845,1.111409
